"用例编号","所属产品","所属模块","相关需求","用例标题","前置条件","步骤","预期","实际情况","关键词","优先级","用例类型","适用阶段","用例状态","B","R","S","结果","由谁创建","创建日期","最后修改者","修改日期","用例版本","相关用例"
"179479","数据资产_STD(#23)","/版本迭代测试用例/v6.4.8/【数据质量】菜单名称修改(#10221)","【岚图】【数据质量】菜单名称修改(#15520)","验证新建项目菜单名称正确修改","无","1. 进入「资产-数据质量」页面
2. 新建项目信息，并切换对应项目
3. 查看页面菜单","1. 页面正常打开
2. 项目新建成功，切换对应项目的页面
3. 1）「概览」名称改为「总览」
2）「规则任务配置」名称改为「规则任务管理」
3）「任务实例查询」名称改为「校验结果查询」
4）「质量报告」名称改为「数据质量报告」
5）新增一级菜单「规则集管理」","1. 
2. 
3.","","2","功能测试","功能测试阶段","正常","0","0","3","","听筠","2026-02-28","","0000-00-00","1","",""
"179478","数据资产_STD(#23)","/版本迭代测试用例/v6.4.8/【数据质量】菜单名称修改(#10221)","【岚图】【数据质量】菜单名称修改(#15520)","验证历史项目菜单名称正确修改","无","1. 进入「资产-数据质量」页面
2. 查看历史项目下的页面菜单","1. 页面正常打开
2. 1）「概览」名称改为「总览」
2）「规则任务配置」名称改为「规则任务管理」
3）「任务实例查询」名称改为「校验结果查询」
4）「质量报告」名称改为「数据质量报告」
5）新增一级菜单「规则集管理」","1. 
2.","","1","功能测试","功能测试阶段","正常","0","0","2","","听筠","2026-02-28","","0000-00-00","1","",""
