用例编号,用例标题,所属模块,相关需求,前置条件,步骤,预期结果,优先级,用例类型
168684,验证整库同步dfm-hive建表时注释正确获取,/版本迭代测试用例/BatchWork_6.4.3/【太极6.3】整库同步建表获取字段及表注释(#9681),【产品交付】整库同步建表语句获取表和字段注释信息(#15138),"存在dfo语句：
CREATE TABLE `dorissql_15147` (
`id` INT COMMENT &#039;主键ID&#039;,
`name` STRING COMMENT &#039;用户姓名&#039;,
`age` INT COMMENT &#039;用户年龄&#039;
)
COMMENT &#039;用户信息明细表&#039; PARTITIONED BY (
`pt` STRING
)
STORED AS ORC
LIFECYCLE 3600;","1. 进入数据源，点击DM for mysqlmeta数据源操作列整库同步按钮
2. 数据同步目标选择sparkthrift，选择可用的schema，点击目标表表名后面的建表语句
3. 配置完成整库同步，点击发布任务","1. 进入整库同步界面
2. 弹窗显示对应的建表语句，相关字段及表级注释存在
3. 任务发布成功，对应目标表创建完成，目标库内可正常查看表及各类注释信息",1,功能测试
168683,验证整库同步dfo-hive建表时注释正确获取,/版本迭代测试用例/BatchWork_6.4.3/【太极6.3】整库同步建表获取字段及表注释(#9681),【产品交付】整库同步建表语句获取表和字段注释信息(#15138),"存在dfo语句：
CREATE TABLE `dorissql_15147` (
`id` INT COMMENT &#039;主键ID&#039;,
`name` STRING COMMENT &#039;用户姓名&#039;,
`age` INT COMMENT &#039;用户年龄&#039;
)
COMMENT &#039;用户信息明细表&#039; PARTITIONED BY (
`pt` STRING
)
STORED AS ORC
LIFECYCLE 3600;","1. 进入数据源，点击DM for Oraclemeta数据源操作列整库同步按钮
2. 数据同步目标选择sparkthrift，选择可用的schema，点击目标表表名后面的建表语句
3. 配置完成整库同步，点击发布任务","1. 进入整库同步界面
2. 弹窗显示对应的建表语句，相关字段及表级注释存在
3. 任务发布成功，对应目标表创建完成，目标库内可正常查看表及各类注释信息",1,功能测试
168682,验证整库同步dfm-hive建表时注释正确获取,/版本迭代测试用例/BatchWork_6.4.3/【太极6.3】整库同步建表获取字段及表注释(#9681),【产品交付】整库同步建表语句获取表和字段注释信息(#15138),"存在dfo语句：
CREATE TABLE `dorissql_15147` (
`id` INT COMMENT &#039;主键ID&#039;,
`name` STRING COMMENT &#039;用户姓名&#039;,
`age` INT COMMENT &#039;用户年龄&#039;
)
COMMENT &#039;用户信息明细表&#039; PARTITIONED BY (
`pt` STRING
)
STORED AS ORC
LIFECYCLE 3600;","1. 进入数据源，点击DM for mysqlmeta数据源操作列整库同步按钮
2. 数据同步目标选择sparkthrift，选择可用的schema，点击目标表表名后面的建表语句
3. 配置完成整库同步，点击发布任务","1. 进入整库同步界面
2. 弹窗显示对应的建表语句，相关字段及表级注释存在
3. 任务发布成功，对应目标表创建完成，目标库内可正常查看表及各类注释信息",2,功能测试
168681,验证整库同步dfo-hive建表时注释正确获取,/版本迭代测试用例/BatchWork_6.4.3/【太极6.3】整库同步建表获取字段及表注释(#9681),【产品交付】整库同步建表语句获取表和字段注释信息(#15138),"存在dfo语句：
CREATE TABLE `dorissql_15147` (
`id` INT COMMENT &#039;主键ID&#039;,
`name` STRING COMMENT &#039;用户姓名&#039;,
`age` INT COMMENT &#039;用户年龄&#039;
)
COMMENT &#039;用户信息明细表&#039; PARTITIONED BY (
`pt` STRING
)
STORED AS ORC
LIFECYCLE 3600;","1. 进入数据源，点击DM for Oraclemeta数据源操作列整库同步按钮
2. 数据同步目标选择sparkthrift，选择可用的schema，点击目标表表名后面的建表语句
3. 配置完成整库同步，点击发布任务","1. 进入整库同步界面
2. 弹窗显示对应的建表语句，相关字段及表级注释存在
3. 任务发布成功，对应目标表创建完成，目标库内可正常查看表及各类注释信息",2,功能测试
168680,验证整库同步dfm-hive建表时注释正确获取,/版本迭代测试用例/BatchWork_6.4.3/【太极6.3】整库同步建表获取字段及表注释(#9681),【产品交付】整库同步建表语句获取表和字段注释信息(#15138),"存在dfo语句：
CREATE TABLE `dorissql_15147` (
`id` INT COMMENT &#039;主键ID&#039;,
`name` STRING COMMENT &#039;用户姓名&#039;,
`age` INT COMMENT &#039;用户年龄&#039;
)
COMMENT &#039;用户信息明细表&#039; PARTITIONED BY (
`pt` STRING
)
STORED AS ORC
LIFECYCLE 3600;","1. 进入数据源，点击DM for mysqlmeta数据源操作列整库同步按钮
2. 数据同步目标选择sparkthrift，选择可用的schema，点击目标表表名后面的建表语句
3. 配置完成整库同步，点击发布任务","1. 进入整库同步界面
2. 弹窗显示对应的建表语句，相关字段及表级注释存在
3. 任务发布成功，对应目标表创建完成，目标库内可正常查看表及各类注释信息",2,功能测试
168679,验证整库同步dfo-hive建表时注释正确获取,/版本迭代测试用例/BatchWork_6.4.3/【太极6.3】整库同步建表获取字段及表注释(#9681),【产品交付】整库同步建表语句获取表和字段注释信息(#15138),"存在dfo语句：
CREATE TABLE `dorissql_15147` (
`id` INT COMMENT &#039;主键ID&#039;,
`name` STRING COMMENT &#039;用户姓名&#039;,
`age` INT COMMENT &#039;用户年龄&#039;
)
COMMENT &#039;用户信息明细表&#039; PARTITIONED BY (
`pt` STRING
)
STORED AS ORC
LIFECYCLE 3600;","1. 进入数据源，点击DM for Oraclemeta数据源操作列整库同步按钮
2. 数据同步目标选择sparkthrift，选择可用的schema，点击目标表表名后面的建表语句
3. 配置完成整库同步，点击发布任务","1. 进入整库同步界面
2. 弹窗显示对应的建表语句，相关字段及表级注释存在
3. 任务发布成功，对应目标表创建完成，目标库内可正常查看表及各类注释信息",2,功能测试
168678,验证整库同步dfm-hive建表时注释正确获取,/版本迭代测试用例/BatchWork_6.4.3/【太极6.3】整库同步建表获取字段及表注释(#9681),【产品交付】整库同步建表语句获取表和字段注释信息(#15138),"存在dfo语句：
CREATE TABLE `dorissql_15147` (
`id` INT COMMENT &#039;主键ID&#039;,
`name` STRING COMMENT &#039;用户姓名&#039;,
`age` INT COMMENT &#039;用户年龄&#039;
)
COMMENT &#039;用户信息明细表&#039; PARTITIONED BY (
`pt` STRING
)
STORED AS ORC
LIFECYCLE 3600;","1. 进入数据源，点击DM for mysqlmeta数据源操作列整库同步按钮
2. 数据同步目标选择sparkthrift，选择可用的schema，点击目标表表名后面的建表语句
3. 配置完成整库同步，点击发布任务","1. 进入整库同步界面
2. 弹窗显示对应的建表语句，相关字段及表级注释存在
3. 任务发布成功，对应目标表创建完成，目标库内可正常查看表及各类注释信息",1,功能测试
168677,验证整库同步dfo-hive建表时注释正确获取,/版本迭代测试用例/BatchWork_6.4.3/【太极6.3】整库同步建表获取字段及表注释(#9681),【产品交付】整库同步建表语句获取表和字段注释信息(#15138),"存在dfo语句：
CREATE TABLE `dorissql_15147` (
`id` INT COMMENT &#039;主键ID&#039;,
`name` STRING COMMENT &#039;用户姓名&#039;,
`age` INT COMMENT &#039;用户年龄&#039;
)
COMMENT &#039;用户信息明细表&#039; PARTITIONED BY (
`pt` STRING
)
STORED AS ORC
LIFECYCLE 3600;","1. 进入数据源，点击DM for Oraclemeta数据源操作列整库同步按钮
2. 数据同步目标选择sparkthrift，选择可用的schema，点击目标表表名后面的建表语句
3. 配置完成整库同步，点击发布任务","1. 进入整库同步界面
2. 弹窗显示对应的建表语句，相关字段及表级注释存在
3. 任务发布成功，对应目标表创建完成，目标库内可正常查看表及各类注释信息",1,功能测试
