用例编号,用例标题,所属模块,相关需求,前置条件,步骤,预期结果,优先级,用例类型
160694,验证失败日志时间戳正常打印,/版本迭代测试用例/BatchWork_6.4.1/补数据实例日志打印(#9309),【建投交付】补数据实例日志打印(#14804),"sql语句列表：
ddl：
-- 创建表（带 COMMENT 和 TBLPROPERTIES）
CREATE TABLE IF NOT EXISTS sales_orders (
order_id     STRING COMMENT &#039;订单ID&#039;,
customer_id  STRING COMMENT &#039;客户ID&#039;,
order_date   DATE   COMMENT &#039;订单日期&#039;,
amount       DECIMAL(10,2) COMMENT &#039;订单金额&#039;
)
USING parquet
PARTITIONED BY (order_date)
TBLPROPERTIES (&#039;comment&#039; = &#039;销售订单表&#039;);
-- 修改表结构（新增字段）
ALTER TABLE sales_orders
ADD COLUMNS (status STRING COMMENT &#039;订单状态&#039;);
-- 删除表
DROP TABLE IF EXISTS sales_orders;
dql：
-- 简单查询
SELECT * FROM sales_orders WHERE amount &gt; 100;
-- 窗口函数
SELECT customer_id,
SUM(amount) OVER (PARTITION BY customer_id ORDER BY order_date) AS running_total
FROM sales_orders;
-- GROUPING SETS（Spark 3.5 增强）
SELECT customer_id, order_date, SUM(amount) AS total
FROM sales_orders
GROUP BY GROUPING SETS ((customer_id), (order_date));
dml：
-- 插入数据
INSERT INTO sales_orders
VALUES (&#039;O1001&#039;, &#039;C001&#039;, DATE&#039;2025-01-01&#039;, 199.99, &#039;PAID&#039;);
-- 覆盖插入
INSERT OVERWRITE sales_orders
VALUES (&#039;O1002&#039;, &#039;C002&#039;, DATE&#039;2025-01-02&#039;, 299.50, &#039;PENDING&#039;);
-- 更新数据（Spark 3.1 引入 Delta 支持 UPDATE，3.5 中已稳定）
UPDATE sales_orders
SET status = &#039;CANCELLED&#039;
WHERE order_id = &#039;O1002&#039;;
-- 删除数据
DELETE FROM sales_orders
WHERE amount &lt; 100;
3.5新增sql：
SELECT order_id, order_date + INTERVAL &#039;2&#039; DAY AS new_date
FROM sales_orders;","1. 进入数据开发模块，点击新建oushudb sql周期任务
2. 输入运行失败的sql，点击保存、提交
3. 进入运维中心-周期任务管理，点击上述任务操作列补数据按钮，点击确定
4. 进入运维中心-补数据任务实例模块，点击上述任务名称查看实例详情-运行记录","1. 系统提示新建成功，列表顶部出现新建的记录，记录内容与填写一致
2. 任务保存、提交完成
3. 任务正常补数据失败
4. 日志框-提交日志模块正常新增时间戳，格式参考prd",2,功能测试
160693,验证多种数据类型任务验证日志时间戳打印正常,/版本迭代测试用例/BatchWork_6.4.1/补数据实例日志打印(#9309),【建投交付】补数据实例日志打印(#14804),"sql语句列表：
ddl：
-- 创建表（带 COMMENT 和 TBLPROPERTIES）
CREATE TABLE IF NOT EXISTS sales_orders (
order_id     STRING COMMENT &#039;订单ID&#039;,
customer_id  STRING COMMENT &#039;客户ID&#039;,
order_date   DATE   COMMENT &#039;订单日期&#039;,
amount       DECIMAL(10,2) COMMENT &#039;订单金额&#039;
)
USING parquet
PARTITIONED BY (order_date)
TBLPROPERTIES (&#039;comment&#039; = &#039;销售订单表&#039;);
-- 修改表结构（新增字段）
ALTER TABLE sales_orders
ADD COLUMNS (status STRING COMMENT &#039;订单状态&#039;);
-- 删除表
DROP TABLE IF EXISTS sales_orders;
dql：
-- 简单查询
SELECT * FROM sales_orders WHERE amount &gt; 100;
-- 窗口函数
SELECT customer_id,
SUM(amount) OVER (PARTITION BY customer_id ORDER BY order_date) AS running_total
FROM sales_orders;
-- GROUPING SETS（Spark 3.5 增强）
SELECT customer_id, order_date, SUM(amount) AS total
FROM sales_orders
GROUP BY GROUPING SETS ((customer_id), (order_date));
dml：
-- 插入数据
INSERT INTO sales_orders
VALUES (&#039;O1001&#039;, &#039;C001&#039;, DATE&#039;2025-01-01&#039;, 199.99, &#039;PAID&#039;);
-- 覆盖插入
INSERT OVERWRITE sales_orders
VALUES (&#039;O1002&#039;, &#039;C002&#039;, DATE&#039;2025-01-02&#039;, 299.50, &#039;PENDING&#039;);
-- 更新数据（Spark 3.1 引入 Delta 支持 UPDATE，3.5 中已稳定）
UPDATE sales_orders
SET status = &#039;CANCELLED&#039;
WHERE order_id = &#039;O1002&#039;;
-- 删除数据
DELETE FROM sales_orders
WHERE amount &lt; 100;
3.5新增sql：
SELECT order_id, order_date + INTERVAL &#039;2&#039; DAY AS new_date
FROM sales_orders;","1. 进入数据开发模块，点击新建GP/SQLserver/Oracle/mysql/dm for oracle/ob for oracle/starrocks周期任务
2. 输入前置条件内sql，点击保存、提交
3. 进入运维中心-周期任务管理，点击上述任务操作列补数据按钮，点击确定
4. 进入运维中心-补数据任务实例模块，点击上述任务名称查看实例详情-运行记录","1. 系统提示新建成功，列表顶部出现新建的记录，记录内容与填写一致
2. 任务保存、提交完成
3. 任务正常补数据成功，系统给出成功反馈，相关页面/数据状态更新为最新
4. 日志框-提交日志模块正常新增时间戳，格式参考prd",2,功能测试
160692,验证补数据实例日志时间戳打印正常,/版本迭代测试用例/BatchWork_6.4.1/补数据实例日志打印(#9309),【建投交付】补数据实例日志打印(#14804),"sql语句列表：
ddl：
-- 创建表（带 COMMENT 和 TBLPROPERTIES）
CREATE TABLE IF NOT EXISTS sales_orders (
order_id     STRING COMMENT &#039;订单ID&#039;,
customer_id  STRING COMMENT &#039;客户ID&#039;,
order_date   DATE   COMMENT &#039;订单日期&#039;,
amount       DECIMAL(10,2) COMMENT &#039;订单金额&#039;
)
USING parquet
PARTITIONED BY (order_date)
TBLPROPERTIES (&#039;comment&#039; = &#039;销售订单表&#039;);
-- 修改表结构（新增字段）
ALTER TABLE sales_orders
ADD COLUMNS (status STRING COMMENT &#039;订单状态&#039;);
-- 删除表
DROP TABLE IF EXISTS sales_orders;
dql：
-- 简单查询
SELECT * FROM sales_orders WHERE amount &gt; 100;
-- 窗口函数
SELECT customer_id,
SUM(amount) OVER (PARTITION BY customer_id ORDER BY order_date) AS running_total
FROM sales_orders;
-- GROUPING SETS（Spark 3.5 增强）
SELECT customer_id, order_date, SUM(amount) AS total
FROM sales_orders
GROUP BY GROUPING SETS ((customer_id), (order_date));
dml：
-- 插入数据
INSERT INTO sales_orders
VALUES (&#039;O1001&#039;, &#039;C001&#039;, DATE&#039;2025-01-01&#039;, 199.99, &#039;PAID&#039;);
-- 覆盖插入
INSERT OVERWRITE sales_orders
VALUES (&#039;O1002&#039;, &#039;C002&#039;, DATE&#039;2025-01-02&#039;, 299.50, &#039;PENDING&#039;);
-- 更新数据（Spark 3.1 引入 Delta 支持 UPDATE，3.5 中已稳定）
UPDATE sales_orders
SET status = &#039;CANCELLED&#039;
WHERE order_id = &#039;O1002&#039;;
-- 删除数据
DELETE FROM sales_orders
WHERE amount &lt; 100;
3.5新增sql：
SELECT order_id, order_date + INTERVAL &#039;2&#039; DAY AS new_date
FROM sales_orders;","1. 进入数据开发模块，点击新建oushudb sql周期任务
2. 输入前置条件内sql，点击保存、提交
3. 进入运维中心-周期任务管理，点击上述任务操作列补数据按钮，点击确定
4. 进入运维中心-补数据任务实例模块，点击上述任务名称查看实例详情-运行记录","1. 系统提示新建成功，列表顶部出现新建的记录，记录内容与填写一致
2. 任务保存、提交完成
3. 任务正常补数据成功，系统给出成功反馈，相关页面/数据状态更新为最新
4. 日志框-提交日志模块正常新增时间戳，格式参考prd",1,功能测试
