"用例编号","所属产品","所属模块","相关需求","用例标题","前置条件","步骤","预期","实际情况","关键词","优先级","用例类型","适用阶段","用例状态","B","R","S","结果","由谁创建","创建日期","最后修改者","修改日期","用例版本","相关用例"
"178209","数据资产_STD(#23)","/版本迭代测试用例/v6.4.7/【数据模型】doris建表支持设置datetime精度(#10142)","【数据模型】Doris类型数据源建表时支持设置datetime精度(#15427)","验证历史DATETIME字段精度正确","历史已存在doris表table1，字段col1的字段类型为DTATETIME","1. 进入数据地图，搜索table1，查看表详情
2. 进入「数据模型-规范建表」，编辑table1，查看字段","1. 字段新增精度列，col1的精度值为0，其他字段展示--
2. 新增精度列，col1的精度值为0，不可编辑，其他字段展示--","开发不能做1. 开发不能做
2.","","2","功能测试","功能测试阶段","正常","0","1","2","通过","可颂","2026-01-21","可颂","2026-01-27","1","",""
"178208","数据资产_STD(#23)","/版本迭代测试用例/v6.4.7/【数据模型】doris建表支持设置datetime精度(#10142)","【数据模型】Doris类型数据源建表时支持设置datetime精度(#15427)","验证doris编辑表功能","无","1. 进入「数据模型-规范建表」，新建表，选择doris数据源，填写信息
2. 新增多个字段，col1、col2选择DATETIME、DATETIMEV2类型
3. col1精度为0，col2精度为6，建表
4. 编辑模型查看展示
5. 新增字段col3，col4，字段类型选择DATETIME、DATETIMEV2类型","1. 进入表结构步骤
2. 主键后新增精度列，col1、col2精度默认为0
3. 建表成功
4. 1）col1字段类型为DATETIME，精度为0，精度不可编辑2）col2字段类型为DATETIME，精度为6，精度不可编辑3）其他字段精度展示--
5. 可填写精度信息","1. 
2. 
3. 
4. 回填错误
5.","","2","功能测试","功能测试阶段","正常","0","1","5","失败","可颂","2026-01-21","","0000-00-00","1","",""
"178207","数据资产_STD(#23)","/版本迭代测试用例/v6.4.7/【数据模型】doris建表支持设置datetime精度(#10142)","【数据模型】Doris类型数据源建表时支持设置datetime精度(#15427)","验证DATETIMEV2、DATETIME类型设置精度后，建表成功","无","1. 进入「数据模型-规范建表」，新建表，选择doris数据源，填写信息
2. 新增多个字段，col1、col2选择DATETIME、DATETIMEV2类型
3. col1精度为0，col2精度为6，建表
4. 查看表详情页","1. 进入表结构步骤
2. 主键后新增精度列，col1、col2精度默认为0
3. 建表成功
4. 字段新增精度列，col1字段类型为DATETIME，精度为0；col2字段类型为DATETIME，精度为6；其他字段精度展示--","1. 
2. 
3. 
4. 表详情页没有字段","","1","功能测试","功能测试阶段","正常","1","1","4","失败","可颂","2026-01-21","","0000-00-00","1","",""
"178206","数据资产_STD(#23)","/版本迭代测试用例/v6.4.7/【数据模型】doris建表支持设置datetime精度(#10142)","【数据模型】Doris类型数据源建表时支持设置datetime精度(#15427)","验证DATETIMEV2、DATETIME类型支持设置精度","无","1. 进入「数据模型-规范建表」，新建表，选择doris数据源，填写信息
2. 新增多个字段，col1、col2选择DATETIME、DATETIMEV2类型
3. 精度输入0、1、2、3、4、5、6
4. 精度输入小数、英文、特殊字符、负数、大于6的整数","1. 进入表结构步骤
2. 主键后新增精度列，col1、col2精度默认为0，其他字段精度展示--
3. 允许输入
4. 不允许输入","1. 
2. 
3. 
4.","","2","功能测试","功能测试阶段","正常","0","1","4","通过","可颂","2026-01-21","","0000-00-00","1","",""
"178205","数据资产_STD(#23)","/版本迭代测试用例/v6.4.7/【数据模型】doris建表支持设置datetime精度(#10142)","【数据模型】Doris类型数据源建表时支持设置datetime精度(#15427)","验证doris建表，字段类型新增DATETIMEV2","无","1. 进入「数据模型-规范建表」，新建表，选择doris数据源，选择主键表，点击下一步
2. 新增字段，查看数据类型
3. 切换明细表/模型表，查看数据类型","1. 进入表结构步骤
2. 数据类型DATETIME下方新增类型为“DATETIMEV2”；
3. 数据类型DATETIME下方新增类型为“DATETIMEV2”；","1. 
2. 
3.","","2","功能测试","功能测试阶段","正常","0","1","3","通过","可颂","2026-01-21","","0000-00-00","1","",""
