用例编号,用例标题,所属模块,相关需求,前置条件,步骤,预期结果,优先级,用例类型
162257,验证hivesql-验证hive2.3.8版本sql正常使用,/版本迭代测试用例/BatchWork_6.4.2/【厦门建发】hivesql支持paimon(#9391),【产品交付】厦门建发-HiveSQL支持Paimon读写(#14881),paimon文档：https://paimon.apache.org/docs/1.2/hive/sql-ddl/#create-catalog,"1. 进入数据开发模块，新建2.3.8版本的hive sql周期任务
2. 输入sql语句：前置条件内sql（普通sql）
点击保存
3. 点击临时运行","1. 系统提示新建成功，列表顶部出现新建的记录，记录内容与填写一致
2. 系统提示任务保存成功，任务已保存至任务列表，可继续编辑或提交
3. 任务正常运行，运行结果符合预期",2,功能测试
162256,验证函数管理-hive2.3.8版本hudi系统函数正常使用,/版本迭代测试用例/BatchWork_6.4.2/【厦门建发】hivesql支持paimon(#9391),【产品交付】厦门建发-HiveSQL支持Paimon读写(#14881),"控制台计算引擎已配置hive2.3.8版本
创建项目时引入hadoop组件
项目管理开发设置已经勾选hive sql
sql语句列表：
DROP TABLE if EXISTS ods_pof_holding_share_info;

CREATE TABLE IF NOT EXISTS `ods_pof_holding_share_info`(
`client_id` bigint COMMENT&#039;公募客户编号&#039;,
`fund_code` bigint COMMENT&#039;基金代码&#039;,
`holding_cost` decimal(24,8) COMMENT&#039;持仓总金额&#039;,
`holding_income` decimal(24,8) COMMENT&#039;持仓总收益&#039;,
`source` string COMMENT&#039;来源&#039;
)comment&#039;客户持有共享信息&#039;partitioned by(
pt string
)stored as orc
lifecycle 100;

INSERT
INTO
TABLE
ods_pof_holding_share_info PARTITION(pt = &#039;${bdp.system.bizdate}&#039;)
VALUES
(   1,1,&#039;10000&#039;,&#039;10000&#039;,&#039;1&#039;
),(
2,2,&#039;20000&#039;,&#039;20000&#039;,&#039;2&#039;
),(
3,3,&#039;30000&#039;,&#039;30000&#039;,&#039;1&#039;
);


SELECT * FROM ods_pof_holding_share_info;


-- 客户账户视图
DROP TABLE if EXISTS ods_11_customer_account_view;

CREATE TABLE IF NOT EXISTS `ods_11_customer_account_view`(
`customer_no` bigint COMMENT&#039;统一客户编号&#039;,
`pub_no` bigint COMMENT&#039;公募客户编号&#039;,
`is_delete` string COMMENT&#039;是否删除 0,1&#039;
)comment&#039;客户账户视图&#039;partitioned by(
pt string
)stored as orc
lifecycle 100;

INSERT
INTO
TABLE
ods_11_customer_account_view PARTITION(pt = &#039;${bdp.system.bizdate}&#039;)
values
(   1,1,&#039;0&#039;
),(
2,2,&#039;1&#039;
),(
3,3,&#039;0&#039;
);


SELECT * FROM ods_11_customer_account_view;

-- 客户最新持仓收益信息
DROP TABLE if EXISTS ads_product_posit_cust_list;

CREATE TABLE IF NOT EXISTS `ads_product_posit_cust_list`(
`cust_no` bigint COMMENT&#039;客编&#039;,
`fun_code` bigint COMMENT&#039;基金代码&#039;,
`posit_amt` decimal(24,8)  COMMENT&#039;持仓总金额&#039;,
`posit_profit` decimal(24,8) COMMENT&#039;持仓总收益&#039;,
`posit_prof_rat` string COMMENT&#039;持仓收益率	持仓总收益/累计支出&#039;,
`posit_type` string COMMENT&#039;汇总类别	公募，私募&#039;,
`create_date` string COMMENT&#039;时间&#039;
)comment&#039;客户最新持仓收益信息&#039;partitioned by(
pt string
)stored as orc
lifecycle 100;

INSERT OVERWRITE TABLE ads_product_posit_cust_list PARTITION(pt = &#039;${bdp.system.bizdate}&#039;)
select
t1.customer_no
,t.fund_code
, t.posit_amt--持仓总金额
, t.posit_profit-- 持仓总收益
, t.posit_prof_rat--持仓收益率
, t.posit_type -- 汇总类别公募
, t.create_date --数据日期
from (
select
client_id
,fund_code
,sum(holding_cost) as posit_amt--持仓总金额
,sum(holding_income) as posit_profit--持仓总收益
,sum(holding_income) as posit_prof_rat--持仓收益率.
,&#039;公募&#039; as posit_type --汇总类别 公募，私募，汇总
,&#039;${bdp.system.bizdate}&#039; as create_date--数据日期
from  ods_pof_holding_share_info
where pt=&#039;${bdp.system.bizdate}&#039;
and source=&#039;1&#039;
group by client_id,fund_code
)t
left join (
select
customer_no--统一客户编号
,pub_no--公募客户编号
from ods_11_customer_account_view
where pt=&#039;${bdp.system.bizdate}&#039;
and is_delete=&#039;0&#039;--正常
and pub_no is not NULL
) t1
on t.client_id=t1.pub_no;","1. 进入数据开发模块，新建2.3.8版本的hive sql周期任务
2. 新建2.3.8版本的hive sql任务，点击确认，输入hudi系统函数，点击保存
3. 点击临时运行","1. 成功进入数据开发模块，新建2.3.8版本的hive sql周期任务页面，页面内容正常加载显示，无报错
2. 任务创建、保存成功，系统给出保存成功提示，配置/数据已持久化，页面更新为最新状态
3. 任务正常运行，运行结果符合预期",2,功能测试
162255,验证补数据运行-hive2.3.8版本任务补数据运行正常运行,/版本迭代测试用例/BatchWork_6.4.2/【厦门建发】hivesql支持paimon(#9391),【产品交付】厦门建发-HiveSQL支持Paimon读写(#14881),"控制台计算引擎已配置hive3.5版本
创建项目时引入hadoop组件
项目管理开发设置已经勾选hive sql
sql语句列表：
DROP TABLE if EXISTS ods_pof_holding_share_info;

CREATE TABLE IF NOT EXISTS `ods_pof_holding_share_info`(
`client_id` bigint COMMENT&#039;公募客户编号&#039;,
`fund_code` bigint COMMENT&#039;基金代码&#039;,
`holding_cost` decimal(24,8) COMMENT&#039;持仓总金额&#039;,
`holding_income` decimal(24,8) COMMENT&#039;持仓总收益&#039;,
`source` string COMMENT&#039;来源&#039;
)comment&#039;客户持有共享信息&#039;partitioned by(
pt string
)stored as orc
lifecycle 100;

INSERT
INTO
TABLE
ods_pof_holding_share_info PARTITION(pt = &#039;${bdp.system.bizdate}&#039;)
VALUES
(   1,1,&#039;10000&#039;,&#039;10000&#039;,&#039;1&#039;
),(
2,2,&#039;20000&#039;,&#039;20000&#039;,&#039;2&#039;
),(
3,3,&#039;30000&#039;,&#039;30000&#039;,&#039;1&#039;
);


SELECT * FROM ods_pof_holding_share_info;


-- 客户账户视图
DROP TABLE if EXISTS ods_11_customer_account_view;

CREATE TABLE IF NOT EXISTS `ods_11_customer_account_view`(
`customer_no` bigint COMMENT&#039;统一客户编号&#039;,
`pub_no` bigint COMMENT&#039;公募客户编号&#039;,
`is_delete` string COMMENT&#039;是否删除 0,1&#039;
)comment&#039;客户账户视图&#039;partitioned by(
pt string
)stored as orc
lifecycle 100;

INSERT
INTO
TABLE
ods_11_customer_account_view PARTITION(pt = &#039;${bdp.system.bizdate}&#039;)
values
(   1,1,&#039;0&#039;
),(
2,2,&#039;1&#039;
),(
3,3,&#039;0&#039;
);


SELECT * FROM ods_11_customer_account_view;

-- 客户最新持仓收益信息
DROP TABLE if EXISTS ads_product_posit_cust_list;

CREATE TABLE IF NOT EXISTS `ads_product_posit_cust_list`(
`cust_no` bigint COMMENT&#039;客编&#039;,
`fun_code` bigint COMMENT&#039;基金代码&#039;,
`posit_amt` decimal(24,8)  COMMENT&#039;持仓总金额&#039;,
`posit_profit` decimal(24,8) COMMENT&#039;持仓总收益&#039;,
`posit_prof_rat` string COMMENT&#039;持仓收益率	持仓总收益/累计支出&#039;,
`posit_type` string COMMENT&#039;汇总类别	公募，私募&#039;,
`create_date` string COMMENT&#039;时间&#039;
)comment&#039;客户最新持仓收益信息&#039;partitioned by(
pt string
)stored as orc
lifecycle 100;

INSERT OVERWRITE TABLE ads_product_posit_cust_list PARTITION(pt = &#039;${bdp.system.bizdate}&#039;)
select
t1.customer_no
,t.fund_code
, t.posit_amt--持仓总金额
, t.posit_profit-- 持仓总收益
, t.posit_prof_rat--持仓收益率
, t.posit_type -- 汇总类别公募
, t.create_date --数据日期
from (
select
client_id
,fund_code
,sum(holding_cost) as posit_amt--持仓总金额
,sum(holding_income) as posit_profit--持仓总收益
,sum(holding_income) as posit_prof_rat--持仓收益率.
,&#039;公募&#039; as posit_type --汇总类别 公募，私募，汇总
,&#039;${bdp.system.bizdate}&#039; as create_date--数据日期
from  ods_pof_holding_share_info
where pt=&#039;${bdp.system.bizdate}&#039;
and source=&#039;1&#039;
group by client_id,fund_code
)t
left join (
select
customer_no--统一客户编号
,pub_no--公募客户编号
from ods_11_customer_account_view
where pt=&#039;${bdp.system.bizdate}&#039;
and is_delete=&#039;0&#039;--正常
and pub_no is not NULL
) t1
on t.client_id=t1.pub_no;","1. 进入数据开发模块，新建2.3.8版本的hive sql周期任务
2. 输入sql语句：前置条件内sql
点击保存、提交
3. 进入运维中心-周期任务管理，点击上述任务操作列补数据按钮-确定","1. 系统提示新建成功，列表顶部出现新建的记录，记录内容与填写一致
2. 任务保存、提交成功，系统给出提交成功提示，状态更新为下一处理阶段
3. 任务补数据实例生成成功，实例运行结果成功，系统给出成功反馈，相关页面/数据状态更新为最新",2,功能测试
162254,验证周期运行-hive2.3.8版本任务周期运行正常运行,/版本迭代测试用例/BatchWork_6.4.2/【厦门建发】hivesql支持paimon(#9391),【产品交付】厦门建发-HiveSQL支持Paimon读写(#14881),"控制台计算引擎已配置hive3.5版本
创建项目时引入hadoop组件
项目管理开发设置已经勾选hive sql
sql语句列表：
DROP TABLE if EXISTS ods_pof_holding_share_info;

CREATE TABLE IF NOT EXISTS `ods_pof_holding_share_info`(
`client_id` bigint COMMENT&#039;公募客户编号&#039;,
`fund_code` bigint COMMENT&#039;基金代码&#039;,
`holding_cost` decimal(24,8) COMMENT&#039;持仓总金额&#039;,
`holding_income` decimal(24,8) COMMENT&#039;持仓总收益&#039;,
`source` string COMMENT&#039;来源&#039;
)comment&#039;客户持有共享信息&#039;partitioned by(
pt string
)stored as orc
lifecycle 100;

INSERT
INTO
TABLE
ods_pof_holding_share_info PARTITION(pt = &#039;${bdp.system.bizdate}&#039;)
VALUES
(   1,1,&#039;10000&#039;,&#039;10000&#039;,&#039;1&#039;
),(
2,2,&#039;20000&#039;,&#039;20000&#039;,&#039;2&#039;
),(
3,3,&#039;30000&#039;,&#039;30000&#039;,&#039;1&#039;
);


SELECT * FROM ods_pof_holding_share_info;


-- 客户账户视图
DROP TABLE if EXISTS ods_11_customer_account_view;

CREATE TABLE IF NOT EXISTS `ods_11_customer_account_view`(
`customer_no` bigint COMMENT&#039;统一客户编号&#039;,
`pub_no` bigint COMMENT&#039;公募客户编号&#039;,
`is_delete` string COMMENT&#039;是否删除 0,1&#039;
)comment&#039;客户账户视图&#039;partitioned by(
pt string
)stored as orc
lifecycle 100;

INSERT
INTO
TABLE
ods_11_customer_account_view PARTITION(pt = &#039;${bdp.system.bizdate}&#039;)
values
(   1,1,&#039;0&#039;
),(
2,2,&#039;1&#039;
),(
3,3,&#039;0&#039;
);


SELECT * FROM ods_11_customer_account_view;

-- 客户最新持仓收益信息
DROP TABLE if EXISTS ads_product_posit_cust_list;

CREATE TABLE IF NOT EXISTS `ads_product_posit_cust_list`(
`cust_no` bigint COMMENT&#039;客编&#039;,
`fun_code` bigint COMMENT&#039;基金代码&#039;,
`posit_amt` decimal(24,8)  COMMENT&#039;持仓总金额&#039;,
`posit_profit` decimal(24,8) COMMENT&#039;持仓总收益&#039;,
`posit_prof_rat` string COMMENT&#039;持仓收益率	持仓总收益/累计支出&#039;,
`posit_type` string COMMENT&#039;汇总类别	公募，私募&#039;,
`create_date` string COMMENT&#039;时间&#039;
)comment&#039;客户最新持仓收益信息&#039;partitioned by(
pt string
)stored as orc
lifecycle 100;

INSERT OVERWRITE TABLE ads_product_posit_cust_list PARTITION(pt = &#039;${bdp.system.bizdate}&#039;)
select
t1.customer_no
,t.fund_code
, t.posit_amt--持仓总金额
, t.posit_profit-- 持仓总收益
, t.posit_prof_rat--持仓收益率
, t.posit_type -- 汇总类别公募
, t.create_date --数据日期
from (
select
client_id
,fund_code
,sum(holding_cost) as posit_amt--持仓总金额
,sum(holding_income) as posit_profit--持仓总收益
,sum(holding_income) as posit_prof_rat--持仓收益率.
,&#039;公募&#039; as posit_type --汇总类别 公募，私募，汇总
,&#039;${bdp.system.bizdate}&#039; as create_date--数据日期
from  ods_pof_holding_share_info
where pt=&#039;${bdp.system.bizdate}&#039;
and source=&#039;1&#039;
group by client_id,fund_code
)t
left join (
select
customer_no--统一客户编号
,pub_no--公募客户编号
from ods_11_customer_account_view
where pt=&#039;${bdp.system.bizdate}&#039;
and is_delete=&#039;0&#039;--正常
and pub_no is not NULL
) t1
on t.client_id=t1.pub_no;","1. 进入数据开发模块，新建2.3.8版本的hive sql周期任务
2. 针对上述hivesql任务，次日后进入运维中心-周期任务实例查看","1. 成功进入数据开发模块，新建2.3.8版本的hive sql周期任务页面，页面内容正常加载显示，无报错
2. 周期实例生成成功，实例运行结果成功，系统给出成功反馈，相关页面/数据状态更新为最新",2,功能测试
162253,验证临时查询-hive2.3.8版本临时查询正常运行,/版本迭代测试用例/BatchWork_6.4.2/【厦门建发】hivesql支持paimon(#9391),【产品交付】厦门建发-HiveSQL支持Paimon读写(#14881),"控制台计算引擎已配置hive3.5版本
创建项目时引入hadoop组件
项目管理开发设置已经勾选hive sql
sql语句列表：
DROP TABLE if EXISTS ods_pof_holding_share_info;

CREATE TABLE IF NOT EXISTS `ods_pof_holding_share_info`(
`client_id` bigint COMMENT&#039;公募客户编号&#039;,
`fund_code` bigint COMMENT&#039;基金代码&#039;,
`holding_cost` decimal(24,8) COMMENT&#039;持仓总金额&#039;,
`holding_income` decimal(24,8) COMMENT&#039;持仓总收益&#039;,
`source` string COMMENT&#039;来源&#039;
)comment&#039;客户持有共享信息&#039;partitioned by(
pt string
)stored as orc
lifecycle 100;

INSERT
INTO
TABLE
ods_pof_holding_share_info PARTITION(pt = &#039;${bdp.system.bizdate}&#039;)
VALUES
(   1,1,&#039;10000&#039;,&#039;10000&#039;,&#039;1&#039;
),(
2,2,&#039;20000&#039;,&#039;20000&#039;,&#039;2&#039;
),(
3,3,&#039;30000&#039;,&#039;30000&#039;,&#039;1&#039;
);


SELECT * FROM ods_pof_holding_share_info;


-- 客户账户视图
DROP TABLE if EXISTS ods_11_customer_account_view;

CREATE TABLE IF NOT EXISTS `ods_11_customer_account_view`(
`customer_no` bigint COMMENT&#039;统一客户编号&#039;,
`pub_no` bigint COMMENT&#039;公募客户编号&#039;,
`is_delete` string COMMENT&#039;是否删除 0,1&#039;
)comment&#039;客户账户视图&#039;partitioned by(
pt string
)stored as orc
lifecycle 100;

INSERT
INTO
TABLE
ods_11_customer_account_view PARTITION(pt = &#039;${bdp.system.bizdate}&#039;)
values
(   1,1,&#039;0&#039;
),(
2,2,&#039;1&#039;
),(
3,3,&#039;0&#039;
);


SELECT * FROM ods_11_customer_account_view;

-- 客户最新持仓收益信息
DROP TABLE if EXISTS ads_product_posit_cust_list;

CREATE TABLE IF NOT EXISTS `ads_product_posit_cust_list`(
`cust_no` bigint COMMENT&#039;客编&#039;,
`fun_code` bigint COMMENT&#039;基金代码&#039;,
`posit_amt` decimal(24,8)  COMMENT&#039;持仓总金额&#039;,
`posit_profit` decimal(24,8) COMMENT&#039;持仓总收益&#039;,
`posit_prof_rat` string COMMENT&#039;持仓收益率	持仓总收益/累计支出&#039;,
`posit_type` string COMMENT&#039;汇总类别	公募，私募&#039;,
`create_date` string COMMENT&#039;时间&#039;
)comment&#039;客户最新持仓收益信息&#039;partitioned by(
pt string
)stored as orc
lifecycle 100;

INSERT OVERWRITE TABLE ads_product_posit_cust_list PARTITION(pt = &#039;${bdp.system.bizdate}&#039;)
select
t1.customer_no
,t.fund_code
, t.posit_amt--持仓总金额
, t.posit_profit-- 持仓总收益
, t.posit_prof_rat--持仓收益率
, t.posit_type -- 汇总类别公募
, t.create_date --数据日期
from (
select
client_id
,fund_code
,sum(holding_cost) as posit_amt--持仓总金额
,sum(holding_income) as posit_profit--持仓总收益
,sum(holding_income) as posit_prof_rat--持仓收益率.
,&#039;公募&#039; as posit_type --汇总类别 公募，私募，汇总
,&#039;${bdp.system.bizdate}&#039; as create_date--数据日期
from  ods_pof_holding_share_info
where pt=&#039;${bdp.system.bizdate}&#039;
and source=&#039;1&#039;
group by client_id,fund_code
)t
left join (
select
customer_no--统一客户编号
,pub_no--公募客户编号
from ods_11_customer_account_view
where pt=&#039;${bdp.system.bizdate}&#039;
and is_delete=&#039;0&#039;--正常
and pub_no is not NULL
) t1
on t.client_id=t1.pub_no;","1. 进入数据开发模块，新建2.3.8版本的hive sql临时查询
2. 输入sql语句：前置条件内sql
点击保存
3. 点击临时运行","1. 系统提示新建成功，列表顶部出现新建的记录，记录内容与填写一致
2. 系统提示任务保存成功，任务已保存至任务列表，可继续编辑或提交
3. 任务正常运行，运行结果符合预期",1,功能测试
162252,验证手动任务-hive2.3.8版本手动任务正常运行,/版本迭代测试用例/BatchWork_6.4.2/【厦门建发】hivesql支持paimon(#9391),【产品交付】厦门建发-HiveSQL支持Paimon读写(#14881),"控制台计算引擎已配置hive3.5版本
创建项目时引入hadoop组件
项目管理开发设置已经勾选hive sql
sql语句列表：
DROP TABLE if EXISTS ods_pof_holding_share_info;

CREATE TABLE IF NOT EXISTS `ods_pof_holding_share_info`(
`client_id` bigint COMMENT&#039;公募客户编号&#039;,
`fund_code` bigint COMMENT&#039;基金代码&#039;,
`holding_cost` decimal(24,8) COMMENT&#039;持仓总金额&#039;,
`holding_income` decimal(24,8) COMMENT&#039;持仓总收益&#039;,
`source` string COMMENT&#039;来源&#039;
)comment&#039;客户持有共享信息&#039;partitioned by(
pt string
)stored as orc
lifecycle 100;

INSERT
INTO
TABLE
ods_pof_holding_share_info PARTITION(pt = &#039;${bdp.system.bizdate}&#039;)
VALUES
(   1,1,&#039;10000&#039;,&#039;10000&#039;,&#039;1&#039;
),(
2,2,&#039;20000&#039;,&#039;20000&#039;,&#039;2&#039;
),(
3,3,&#039;30000&#039;,&#039;30000&#039;,&#039;1&#039;
);


SELECT * FROM ods_pof_holding_share_info;


-- 客户账户视图
DROP TABLE if EXISTS ods_11_customer_account_view;

CREATE TABLE IF NOT EXISTS `ods_11_customer_account_view`(
`customer_no` bigint COMMENT&#039;统一客户编号&#039;,
`pub_no` bigint COMMENT&#039;公募客户编号&#039;,
`is_delete` string COMMENT&#039;是否删除 0,1&#039;
)comment&#039;客户账户视图&#039;partitioned by(
pt string
)stored as orc
lifecycle 100;

INSERT
INTO
TABLE
ods_11_customer_account_view PARTITION(pt = &#039;${bdp.system.bizdate}&#039;)
values
(   1,1,&#039;0&#039;
),(
2,2,&#039;1&#039;
),(
3,3,&#039;0&#039;
);


SELECT * FROM ods_11_customer_account_view;

-- 客户最新持仓收益信息
DROP TABLE if EXISTS ads_product_posit_cust_list;

CREATE TABLE IF NOT EXISTS `ads_product_posit_cust_list`(
`cust_no` bigint COMMENT&#039;客编&#039;,
`fun_code` bigint COMMENT&#039;基金代码&#039;,
`posit_amt` decimal(24,8)  COMMENT&#039;持仓总金额&#039;,
`posit_profit` decimal(24,8) COMMENT&#039;持仓总收益&#039;,
`posit_prof_rat` string COMMENT&#039;持仓收益率	持仓总收益/累计支出&#039;,
`posit_type` string COMMENT&#039;汇总类别	公募，私募&#039;,
`create_date` string COMMENT&#039;时间&#039;
)comment&#039;客户最新持仓收益信息&#039;partitioned by(
pt string
)stored as orc
lifecycle 100;

INSERT OVERWRITE TABLE ads_product_posit_cust_list PARTITION(pt = &#039;${bdp.system.bizdate}&#039;)
select
t1.customer_no
,t.fund_code
, t.posit_amt--持仓总金额
, t.posit_profit-- 持仓总收益
, t.posit_prof_rat--持仓收益率
, t.posit_type -- 汇总类别公募
, t.create_date --数据日期
from (
select
client_id
,fund_code
,sum(holding_cost) as posit_amt--持仓总金额
,sum(holding_income) as posit_profit--持仓总收益
,sum(holding_income) as posit_prof_rat--持仓收益率.
,&#039;公募&#039; as posit_type --汇总类别 公募，私募，汇总
,&#039;${bdp.system.bizdate}&#039; as create_date--数据日期
from  ods_pof_holding_share_info
where pt=&#039;${bdp.system.bizdate}&#039;
and source=&#039;1&#039;
group by client_id,fund_code
)t
left join (
select
customer_no--统一客户编号
,pub_no--公募客户编号
from ods_11_customer_account_view
where pt=&#039;${bdp.system.bizdate}&#039;
and is_delete=&#039;0&#039;--正常
and pub_no is not NULL
) t1
on t.client_id=t1.pub_no;","1. 进入数据开发模块，新建2.3.8版本的hive sql手动任务
2. 输入sql语句：前置条件内sql
点击保存
3. 点击临时运行","1. 系统提示新建成功，列表顶部出现新建的记录，记录内容与填写一致
2. 系统提示任务保存成功，任务已保存至任务列表，可继续编辑或提交
3. 任务正常运行，运行结果符合预期",1,功能测试
162251,验证周期任务-hive2.3.8版本周期任务正常运行,/版本迭代测试用例/BatchWork_6.4.2/【厦门建发】hivesql支持paimon(#9391),【产品交付】厦门建发-HiveSQL支持Paimon读写(#14881),"控制台计算引擎已配置hive3.5版本
创建项目时引入hadoop组件
项目管理开发设置已经勾选hive sql
sql语句列表：
DROP TABLE if EXISTS ods_pof_holding_share_info;

CREATE TABLE IF NOT EXISTS `ods_pof_holding_share_info`(
`client_id` bigint COMMENT&#039;公募客户编号&#039;,
`fund_code` bigint COMMENT&#039;基金代码&#039;,
`holding_cost` decimal(24,8) COMMENT&#039;持仓总金额&#039;,
`holding_income` decimal(24,8) COMMENT&#039;持仓总收益&#039;,
`source` string COMMENT&#039;来源&#039;
)comment&#039;客户持有共享信息&#039;partitioned by(
pt string
)stored as orc
lifecycle 100;

INSERT
INTO
TABLE
ods_pof_holding_share_info PARTITION(pt = &#039;${bdp.system.bizdate}&#039;)
VALUES
(   1,1,&#039;10000&#039;,&#039;10000&#039;,&#039;1&#039;
),(
2,2,&#039;20000&#039;,&#039;20000&#039;,&#039;2&#039;
),(
3,3,&#039;30000&#039;,&#039;30000&#039;,&#039;1&#039;
);


SELECT * FROM ods_pof_holding_share_info;


-- 客户账户视图
DROP TABLE if EXISTS ods_11_customer_account_view;

CREATE TABLE IF NOT EXISTS `ods_11_customer_account_view`(
`customer_no` bigint COMMENT&#039;统一客户编号&#039;,
`pub_no` bigint COMMENT&#039;公募客户编号&#039;,
`is_delete` string COMMENT&#039;是否删除 0,1&#039;
)comment&#039;客户账户视图&#039;partitioned by(
pt string
)stored as orc
lifecycle 100;

INSERT
INTO
TABLE
ods_11_customer_account_view PARTITION(pt = &#039;${bdp.system.bizdate}&#039;)
values
(   1,1,&#039;0&#039;
),(
2,2,&#039;1&#039;
),(
3,3,&#039;0&#039;
);


SELECT * FROM ods_11_customer_account_view;

-- 客户最新持仓收益信息
DROP TABLE if EXISTS ads_product_posit_cust_list;

CREATE TABLE IF NOT EXISTS `ads_product_posit_cust_list`(
`cust_no` bigint COMMENT&#039;客编&#039;,
`fun_code` bigint COMMENT&#039;基金代码&#039;,
`posit_amt` decimal(24,8)  COMMENT&#039;持仓总金额&#039;,
`posit_profit` decimal(24,8) COMMENT&#039;持仓总收益&#039;,
`posit_prof_rat` string COMMENT&#039;持仓收益率	持仓总收益/累计支出&#039;,
`posit_type` string COMMENT&#039;汇总类别	公募，私募&#039;,
`create_date` string COMMENT&#039;时间&#039;
)comment&#039;客户最新持仓收益信息&#039;partitioned by(
pt string
)stored as orc
lifecycle 100;

INSERT OVERWRITE TABLE ads_product_posit_cust_list PARTITION(pt = &#039;${bdp.system.bizdate}&#039;)
select
t1.customer_no
,t.fund_code
, t.posit_amt--持仓总金额
, t.posit_profit-- 持仓总收益
, t.posit_prof_rat--持仓收益率
, t.posit_type -- 汇总类别公募
, t.create_date --数据日期
from (
select
client_id
,fund_code
,sum(holding_cost) as posit_amt--持仓总金额
,sum(holding_income) as posit_profit--持仓总收益
,sum(holding_income) as posit_prof_rat--持仓收益率.
,&#039;公募&#039; as posit_type --汇总类别 公募，私募，汇总
,&#039;${bdp.system.bizdate}&#039; as create_date--数据日期
from  ods_pof_holding_share_info
where pt=&#039;${bdp.system.bizdate}&#039;
and source=&#039;1&#039;
group by client_id,fund_code
)t
left join (
select
customer_no--统一客户编号
,pub_no--公募客户编号
from ods_11_customer_account_view
where pt=&#039;${bdp.system.bizdate}&#039;
and is_delete=&#039;0&#039;--正常
and pub_no is not NULL
) t1
on t.client_id=t1.pub_no;","1. 进入数据开发模块，新建2.3.8版本的hive sql周期任务
2. 输入sql语句：前置条件内sql
点击保存
3. 点击临时运行","1. 系统提示新建成功，列表顶部出现新建的记录，记录内容与填写一致
2. 系统提示任务保存成功，任务已保存至任务列表，可继续编辑或提交
3. 任务正常运行，运行结果符合预期",1,功能测试
