"用例编号","所属产品","所属模块","相关需求","用例标题","前置条件","步骤","预期","实际情况","关键词","优先级","用例类型","适用阶段","用例状态","B","R","S","结果","由谁创建","创建日期","最后修改者","修改日期","用例版本","相关用例"
"160752","指标开发_STD(#53)","/迭代版本测试用例/V6.4.0/模型支持sql定义(#9315)","","验证新建模型共享功能","无","1. 进入指标共享-模型共享页面，点击新增模型共享按钮
2. 共享来源选择
3. 共享模型选择
4. 共享目标选择
5. 选择共享来源、共享模型、共享目标；点击确定
6. 查看模型共享状态
7. 查看目标项目模型
8. 点击模型复制","1. 进入新增模型共享页面
2. 展示当前数栈平台所有的租户/项目列表
3. 展示所选项目下所有的模型
4. 展示该租户下所有的项目
5. 新增模型共享成功，跳转到模型共享列表页面
6. 模型共享成功
7. 共享模型信息展示正确
8. 模型复制成功","1. 
2. 
3. 
4. 
5. 
6. 
7. 
8.","","2","功能测试","功能测试阶段","正常","1","2","8","通过","蜜汁","2025-09-12","蜜汁","2025-09-12","1","",""
"160751","指标开发_STD(#53)","/迭代版本测试用例/V6.4.0/模型支持sql定义(#9315)","","验证历史数据展示","1、已存在历史初始化数据：
逻辑关系模型model_lj_1；物理表模型model_wl_1；","1. 编辑逻辑关系模型model_lj_1
2. 编辑物理表模型model_wl_1
3. 查看逻辑关系模型model_lj_1详情
4. 查看物理表模型model_wl_1详情","1. 编辑页面数据回显正确，表关联页面新增主表来源，默认选中物理表
2. 编辑页面数据回显正确，表关联页面新增主表来源，默认选中物理表
3. 查看基本信息：
关联视图表名称展示：物理表展示：别名(表名)、逻辑表展示：别名；
数据信息展示：主表、关联表表格；主表展示：表别名、catalog、schema、表名、更新方式；关联表展示：表别名、catalog、schema、表名、关联类型、更新方式、关联条件；
维度展示：维度对象、维度属性、表（物理表展示：别名(表名)、逻辑表展示：别名）、字段名称、字段描述、字段类型；
度量展示：表（物理表展示：别名(表名)、逻辑表展示：别名）、字段名称、字段描述、字段类型
4. 查看基本信息：
关联视图表名称展示：物理表展示：别名(表名)、逻辑表展示：别名；
数据信息展示：主表、关联表表格；主表展示：表别名、catalog、schema、表名、更新方式；关联表展示：表别名、catalog、schema、表名、关联类型、更新方式、关联条件；
维度展示：维度对象、维度属性、表（物理表展示：别名(表名)、逻辑表展示：别名）、字段名称、字段描述、字段类型；
度量展示：表（物理表展示：别名(表名)、逻辑表展示：别名）、字段名称、字段描述、字段类型","1. 
2. 
3. 
4.","","1","功能测试","功能测试阶段","正常","1","2","4","失败","蜜汁","2025-09-12","","0000-00-00","1","",""
"160750","指标开发_STD(#53)","/迭代版本测试用例/V6.4.0/模型支持sql定义(#9315)","","验证编辑模型修改主表来源","无","1. 修改模型来源表，物理表改为逻辑表，存储为逻辑关系模型
2. 修改模型来源表，物理表改为逻辑表，存储为物理表模型
3. 修改模型来源表，逻辑表改为物理表，存储为逻辑关系模型
4. 修改模型来源表，逻辑表改为物理表，存储为物理表模型","1. 模型编辑并发布成功，查看模型详情，模型详情信息展示正确
2. 模型编辑并发布成功，查看模型详情，模型详情信息展示正确
3. 模型编辑并发布成功，查看模型详情，模型详情信息展示正确
4. 模型编辑并发布成功，查看模型详情，模型详情信息展示正确","1. 
2. 
3. 
4.","","2","功能测试","功能测试阶段","正常","2","2","4","通过","蜜汁","2025-09-12","","0000-00-00","1","",""
"160749","指标开发_STD(#53)","/迭代版本测试用例/V6.4.0/模型支持sql定义(#9315)","","验证编辑模型修改逻辑表-存储为物理表模型","1、存在表index_catalog.index_schema.order(user_id BIGINT、amout DECIMAL(10, 2)、order_id BIGINT、order_date DATE）；
INSERT INTO index_catalog.index_schema.“order“ (user_id, amount, order_id, order_date) VALUES
(1001, 299.99, 5001, &#039;2025-03-15&#039;),
(1002, 150.50, 5002, &#039;2025-04-21&#039;),
(1003, 88.00, 5003, &#039;2025-05-26&#039;);

index_catalog.index_schema.user(user_id BIGINT 、name VARCHAR(50)、create_time DATETIME）；
INSERT INTO index_catalog.index_schema.user (user_id, name, create_time) VALUES
(&#039;1001&#039;, &#039;Alice&#039;, &#039;2025-03-15 10:20:00&#039;),
(&#039;1002&#039;, &#039;Bob&#039;, &#039;2025-04-20 14:35:00&#039;),
(&#039;1003&#039;, &#039;Charlie&#039;, &#039;2025-05-25 09:10:00&#039;);


2、存在模型model_01配置主表为逻辑表：
SELECT
order.user_id,
order.amout,
order.order_id,
order.order_date,
FROM
index_catalog.index_schema.order
INNER JOIN
index_catalog.index_schema.user
ON
order.user_id = user.user_id
WHERE
order.user_id = &#039;1001&#039;;
辅表为index_catalog.index_schema.user，表别名t_user；
选择维度：order.user_id、user.order_id、order.order_date；
度量列：order.amout；
存储为逻辑关系；","1. 指标中心-数据模型，选择模型model_01，点击下线
2. 点击编辑
3. 进入表关联页面，修改逻辑表SQL：SELECT     order.user_id,    order.amout,    order.order_id,    order.order_date,FROM     index_catalog.index_schema.orderWHERE	order.user_id = '1001';
4. 点击下一步，进入选择维度页面
5. 选择维度，点击下一步，进入选择度量页面
6. 选择度量，点击下一步
7. 选择模型存储-存储为物理表，设置表属性（表名称）、调度属性、点击查看SQL
8. 点击保存并发布
9. 查看模型详情","1. 下线成功
2. 进入模型编辑页面
3. 修改成功
4. 展示字段：
user_id,
amout,
order_id,
order_date,
user_id,
amout,
order_id,
order_date、
描述、关联维度对象、关联维度属性、字段类型、表、schema、表别名展示正确
5. 展示字段：
user_id,
amout,
order_id,
order_date,
user_id,
amout,
order_id,
order_date、
描述、字段类型、表、schema、表别名展示正确
6. 跳转到设置页面
7. SQL展示正确，更新SQL逻辑
8. 编辑模型成功，原物理表删除，更新物理表
9. 模型详情展示修改后信息","1. 
2. 
3. 
4. 
5. 
6. 
7. 
8. 
9.","","1","功能测试","功能测试阶段","正常","0","3","9","通过","蜜汁","2025-09-12","","0000-00-00","1","",""
"160748","指标开发_STD(#53)","/迭代版本测试用例/V6.4.0/模型支持sql定义(#9315)","","验证编辑模型修改逻辑表-存储为逻辑关系模型","1、存在表index_catalog.index_schema.order(user_id BIGINT、amout DECIMAL(10, 2)、order_id BIGINT、order_date DATE）；
INSERT INTO index_catalog.index_schema.“order“ (user_id, amount, order_id, order_date) VALUES
(1001, 299.99, 5001, &#039;2025-03-15&#039;),
(1002, 150.50, 5002, &#039;2025-04-21&#039;),
(1003, 88.00, 5003, &#039;2025-05-26&#039;);

index_catalog.index_schema.user(user_id BIGINT 、name VARCHAR(50)、create_time DATETIME）；
INSERT INTO index_catalog.index_schema.user (user_id, name, create_time) VALUES
(&#039;1001&#039;, &#039;Alice&#039;, &#039;2025-03-15 10:20:00&#039;),
(&#039;1002&#039;, &#039;Bob&#039;, &#039;2025-04-20 14:35:00&#039;),
(&#039;1003&#039;, &#039;Charlie&#039;, &#039;2025-05-25 09:10:00&#039;);


2、存在模型model_01配置主表为逻辑表：
SELECT
order.user_id,
order.amout,
order.order_id,
order.order_date,
FROM
index_catalog.index_schema.order
INNER JOIN
index_catalog.index_schema.user
ON
order.user_id = user.user_id
WHERE
order.user_id = &#039;1001&#039;;
辅表为index_catalog.index_schema.user，表别名t_user；
选择维度：order.user_id、user.order_id、order.order_date；
度量列：order.amout；
存储为逻辑关系；","1. 指标中心-数据模型，选择模型model_01，点击下线
2. 点击编辑
3. 进入表关联页面，修改逻辑表SQL：SELECT     order.user_id,    order.amout,    order.order_id,    order.order_date,FROM     index_catalog.index_schema.orderWHERE	order.user_id = '1001';
4. 点击下一步，进入选择维度页面
5. 选择维度，点击下一步，进入选择度量页面
6. 选择度量，点击下一步
7. 选择模型存储-存储为逻辑关系，点击保存并发布
8. 查看模型详情","1. 下线成功
2. 进入模型编辑页面
3. 修改成功
4. 展示字段：
user_id,
amout,
order_id,
order_date,
user_id,
amout,
order_id,
order_date、
描述、关联维度对象、关联维度属性、字段类型、表、schema、表别名展示正确
5. 展示字段：
user_id,
amout,
order_id,
order_date,
user_id,
amout,
order_id,
order_date、
描述、字段类型、表、schema、表别名展示正确
6. 跳转到设置页面
7. 编辑模型成功
8. 模型详情展示修改后信息","1. 
2. 
3. 
4. 
5. 
6. 
7. 
8.","","2","功能测试","功能测试阶段","正常","0","1","8","通过","蜜汁","2025-09-12","","0000-00-00","1","",""
"160747","指标开发_STD(#53)","/迭代版本测试用例/V6.4.0/模型支持sql定义(#9315)","","验证模型主表逻辑表-业务限定逻辑","无","1. 指标中心-维度管理-业务限定，点击新增业务限定
2. 输入业务限定名称、业务限定标识、业务限定描述，选择模型，添加过滤条件，选择字段
3. 配置过滤条件，配置指标，进行自助取数","1. 进入新增业务限定页面
2. 字段展示：
主表为物理表展示：别名(表名)、主表为逻辑表展示：别名
3. 自助取数SQL拼接业务限定配置条件","1. 
2. 
3.","","2","功能测试","功能测试阶段","正常","1","2","3","通过","蜜汁","2025-09-12","","0000-00-00","1","",""
"160746","指标开发_STD(#53)","/迭代版本测试用例/V6.4.0/模型支持sql定义(#9315)","","验证模型主表逻辑表-自助取数逻辑-存储为物理表模型","1、存在表index_catalog.index_schema.order(user_id BIGINT、amout DECIMAL(10, 2)、order_id BIGINT、order_date DATE）；
INSERT INTO index_catalog.index_schema.“order“ (user_id, amount, order_id, order_date) VALUES
(1001, 299.99, 5001, &#039;2025-03-15&#039;),
(1002, 150.50, 5002, &#039;2025-04-21&#039;),
(1003, 88.00, 5003, &#039;2025-05-26&#039;);
index_catalog.index_schema.user(user_id BIGINT 、name VARCHAR(50)、create_time DATETIME）；
INSERT INTO index_catalog.index_schema.user (user_id, name, create_time) VALUES
(&#039;1001&#039;, &#039;Alice&#039;, &#039;2025-03-15 10:20:00&#039;),
(&#039;1002&#039;, &#039;Bob&#039;, &#039;2025-04-20 14:35:00&#039;),
(&#039;1003&#039;, &#039;Charlie&#039;, &#039;2025-05-25 09:10:00&#039;);
2、存在模型model_01配置主表为逻辑表：
SELECT
order.user_id,
order.amout,
order.order_id,
order.order_date,
FROM
index_catalog.index_schema.order
INNER JOIN
index_catalog.index_schema.user
ON
order.user_id = user.user_id
WHERE
order.user_id = &#039;1001&#039;;
辅表为index_catalog.index_schema.user，表别名t_user；
选择维度：order.user_id、user.order_id、order.order_date；
度量列：order.amout；
存储为逻辑关系；
3、、用modeL_01创建并发布原子指标：yz_01，计算逻辑sum(order.amout)；
4、yz_01创建并发布派生指标：即席查询jx_Ps_01、自动生成zd_Ps_01、手动生成sd_Ps_01；
5、使用jx_Ps_01+zd_Ps_01创建并发布复合指标：即席查询jx_Fh_01、自动生成zd_Fh_01、手动生成sd_Fh_01；","1. 指标应用-自助取数-数据查询
2. 选择指标：jx_Ps_01、zd_Ps_01、sd_Ps_01、jx_Fh_01、zd_Fh_01、sd_Fh_01；点击查询
3. 点击查看查询sql
4. 点击下载","1. 进入自助取数页面
2. 查询数据成功，数据过滤order.user_id = '1001';
3. 出现查询sql弹窗；
sql拼接模型逻辑表中条件
WHERE order.user_id = '1001';
4. 下载数据成功","1. 
2. 
3. 
4.","","2","功能测试","功能测试阶段","正常","0","1","4","通过","蜜汁","2025-09-12","椰汁","2025-09-24","2","",""
"160745","指标开发_STD(#53)","/迭代版本测试用例/V6.4.0/模型支持sql定义(#9315)","","验证模型主表逻辑表-自助取数逻辑-存储为逻辑关系模型","1、存在表index_catalog.index_schema.order(user_id BIGINT、amout DECIMAL(10, 2)、order_id BIGINT、order_date DATE）；
INSERT INTO index_catalog.index_schema.“order“ (user_id, amount, order_id, order_date) VALUES
(1001, 299.99, 5001, &#039;2025-03-15&#039;),
(1002, 150.50, 5002, &#039;2025-04-21&#039;),
(1003, 88.00, 5003, &#039;2025-05-26&#039;);

index_catalog.index_schema.user(user_id BIGINT 、name VARCHAR(50)、create_time DATETIME）；
INSERT INTO index_catalog.index_schema.user (user_id, name, create_time) VALUES
(&#039;1001&#039;, &#039;Alice&#039;, &#039;2025-03-15 10:20:00&#039;),
(&#039;1002&#039;, &#039;Bob&#039;, &#039;2025-04-20 14:35:00&#039;),
(&#039;1003&#039;, &#039;Charlie&#039;, &#039;2025-05-25 09:10:00&#039;);


2、存在模型model_01配置主表为逻辑表：
SELECT
order.user_id,
order.amout,
order.order_id,
order.order_date,
FROM
index_catalog.index_schema.order
INNER JOIN
index_catalog.index_schema.user
ON
order.user_id = user.user_id
WHERE
order.user_id = &#039;1001&#039;;
辅表为index_catalog.index_schema.user，表别名t_user；
选择维度：order.user_id、user.order_id、order.order_date；
度量列：order.amout；
存储为逻辑关系；

3、、用modeL_01创建并发布原子指标：yz_01，计算逻辑sum(order.amout)；

4、yz_01创建并发布派生指标：即席查询jx_Ps_01、自动生成zd_Ps_01、手动生成sd_Ps_01；

5、使用jx_Ps_01+zd_Ps_01创建并发布复合指标：即席查询jx_Fh_01、自动生成zd_Fh_01、手动生成sd_Fh_01；","1. 指标应用-自助取数-数据查询
2. 选择指标：jx_Ps_01、zd_Ps_01、sd_Ps_01、jx_Fh_01、zd_Fh_01、sd_Fh_01；点击查询
3. 点击查看查询sql
4. 点击下载","1. 进入自助取数页面
2. 查询数据成功，数据过滤order.user_id = '1001';
3. 出现查询sql弹窗；
sql拼接模型逻辑表中条件
WHERE order.user_id = '1001';
4. 下载数据成功","1. 
2. 
3. 
4.","","1","功能测试","功能测试阶段","正常","1","4","4","通过","蜜汁","2025-09-12","","0000-00-00","1","",""
"160744","指标开发_STD(#53)","/迭代版本测试用例/V6.4.0/模型支持sql定义(#9315)","","验证模型主表逻辑表-自定义SQL校验逻辑","无","1. 不输入 自定义SQL，直接点击 下一步
2. 输入 自定义SQL，直接点击 下一步
3. 输入正确自定义SQL：select id from table；
4. 输入错误自定义SQL：select pk、pt、yw_data from table；","1. 提示异常
2. 下一步自动校验
3. 规范性校验通过，状态展示已通过
4. 规范性校验失败，状态展示未通过，日志展示错误信息：不能包含[pk,pt,yw_date]字段","1. 
2. 
3. 
4.","","3","功能测试","功能测试阶段","正常","0","2","4","通过","蜜汁","2025-09-12","","0000-00-00","1","",""
"160743","指标开发_STD(#53)","/迭代版本测试用例/V6.4.0/模型支持sql定义(#9315)","","验证模型详情数据-主表为物理表","1、存在表index_catalog.index_schema.order(user_id BIGINT、amout DECIMAL(10, 2)、order_id BIGINT、order_date DATE）；
INSERT INTO index_catalog.index_schema.“order“ (user_id, amount, order_id, order_date) VALUES
(1001, 299.99, 5001, &#039;2025-03-15&#039;),
(1002, 150.50, 5002, &#039;2025-04-21&#039;),
(1003, 88.00, 5003, &#039;2025-05-26&#039;);

index_catalog.index_schema.user(user_id BIGINT 、name VARCHAR(50)、create_time DATETIME）；
INSERT INTO index_catalog.index_schema.user (user_id, name, create_time) VALUES
(&#039;1001&#039;, &#039;Alice&#039;, &#039;2025-03-15 10:20:00&#039;),
(&#039;1002&#039;, &#039;Bob&#039;, &#039;2025-04-20 14:35:00&#039;),
(&#039;1003&#039;, &#039;Charlie&#039;, &#039;2025-05-25 09:10:00&#039;);


2、存在模型配置主表为物理表：
主表为index_catalog.index_schema.order；
辅表为index_catalog.index_schema.user，表别名t_user；

3、主表left join辅表","1. 点击模型名称
2. 查看基本信息-关联视图
3. 查看基本信息-数据信息
4. 查看基本信息-维度
5. 查看基本信息-度量","1. 出现模型详情弹窗
2. 关联视图表名称展示：物理表展示：别名(表名)、逻辑表展示：别名；
t0(order) left join t_user(user);
3. 数据信息展示：主表、关联表表格；
主表展示：表别名、catalog、schema、表名、更新方式；
关联表展示：表别名、catalog、schema、表名、关联类型、更新方式、关联条件
4. 维度展示：维度对象、维度属性、表（物理表展示：别名(表名)、逻辑表展示：别名）、字段名称、字段描述、字段类型；
5. 度量展示：表（物理表展示：别名(表名)、逻辑表展示：别名）、字段名称、字段描述、字段类型","1. 
2. 
3. 
4. 
5.","","2","功能测试","功能测试阶段","正常","0","2","5","通过","蜜汁","2025-09-12","","0000-00-00","1","",""
