"用例编号","所属产品","所属模块","相关需求","用例标题","前置条件","步骤","预期","实际情况","关键词","优先级","用例类型","适用阶段","用例状态","B","R","S","结果","由谁创建","创建日期","最后修改者","修改日期","用例版本","相关用例"
"168618","指标开发_STD(#53)","/迭代版本测试用例/V6.4.1-银联云/经营目标管理(#9637)","经营目标管理：支持定义目标/目标策略/子目标/子目标策略(#14940)","验证分析经营目标详情","1、当前登录账号有「经营管理」-「经营目标管理」的全部权限；
2、当前项目对接的计算组件为sr；
3、当前项目下已创建经营目标：${target}，该目标已被已发布状态「经营分析」记录绑定。","1. 进入经营管理-经营目标管理页面，选择该经营目标：${target}，点击分析按钮
2. 查看分析来源
3. 查看分析日期
4. 查看分析来源设置的分析维度
5. 查看交叉分析
6. 点击分析
7. 查看经营过程事件归因
8. 查看目标名称
9. 切换到经营过程关联归因
10. 对应分析日期没做任务计算","1. 进入经营目标管理>经营目标分析页面
2. 选项范围：经营分析中设置的分析目标包含当前目标的已发布的分析记录
默认取最新更新的经营分析
3. 日期选择，默认昨日
4. 值域：分析来源设置的分析维度
且 目标衡量指标、子目标衡量指标、子目标策略的经营过程追踪指标均包含当前维度
选项名称：分析依据设置的维度属性名称
选项设置：单选，非必选，默认为空，支持清空
- 清空：取所有用户数据统计贡献情况；
- 选某个维值：取衡量指标限制在维值范围内的数据统计贡献情况，经营过程追踪指标取维值查询结果
5. 多选，非必选，默认为空
枚举值：当前目标的其他子目标
基于分析来源选择的经营分析主体取
交叉分析中选择的子目标的衡量指标覆盖的经营分析主体作为限定条件，计算下面的策略归因数据
6. 执行各节点贡献率计算，包括经营过程事件归因和经营过程关联归因，默认选中经营过程事件归因
（原始的每个用户（经营分析主体）的归因数据不做计算，只针对每个用户的贡献度计算结果做用户筛选后做数据求和，形成整体的贡献结果）
未设置交叉分析时，日期、机构的切换，可直接从结果表查数据做展示；设置了交叉分析后，需要即时计算贡献结果
7. 展示目标名称、目标策略、子目标名称、子目标策略，基于选中的子目标策略显示经营过程追踪（取数模板）的查询结果（查询日期替换未顶部选择的分析日期；若选择了某个维值，则筛选条件追加维值条件查询），查询不出结果的，显示暂无数据，不要报错
8. 信息包括：衡量指标展示名称（为空时展示指标名称），当前值
计划于yyyy-mm-dd实现目标：xx元 完成度
取当期目标中结束时间最早的目标进行数据展示
未设置目标的，不显示目标完成情况
9. 展示：目标名称、目标策略、子目标名称、活动对目标影响、活动对目标策略影响、活动对子目标影响
10. 文案展示：暂无贡献率计算结果","1. 
2. 
3. 
4. 清空和选某个维值筛选出来的数据一样
5. 子目标名称展示成了id；后续还需测试数据是否根据限定条件更新
6. 切换日期就报错；经营过程关联归因还没做
7. 选择某个维值后数据没更新，需要后续再测试
8. 
9. 
10. 没点更新没做任务也会展示数据","","1","功能测试","功能测试阶段","正常","0","2","10","失败","乐薇","2025-11-19","椰汁","2025-11-21","1","",""
"168617","指标开发_STD(#53)","/迭代版本测试用例/V6.4.1-银联云/经营目标管理(#9637)","经营目标管理：支持定义目标/目标策略/子目标/子目标策略(#14940)","验证指标数据权限处理","无","1. 当前登录账号有目标衡量指标查看权限
2. 当前登录账号没有目标衡量指标查看权限
3. 当前登录账号对目标衡量指标设置有行级权限
4. 当前登录账号有子目标衡量指标查看权限
5. 当前登录账号没有子目标衡量指标查看权限
6. 当前登录账号对子目标衡量指标设置有行级权限
7. 查看经营目标的计算逻辑","1. 可查看当前分析的分析结果
2. 显示暂无当前目标查看权限
3. 根据设置的行级权限查找覆盖经营分析主体的范围后对范围内数据做贡献率的汇总计算
4. 可查看当前子目标及其下游所有数据
5. 显示暂无当前目标查看权限，无下游数据显示
6. 根据设置的行级权限查找覆盖经营分析主体的范围后对范围内数据做贡献率的汇总计算
7. 基于计算结果做查询，用户级的贡献率计算不能在此时现计算","1. 
2. 
3. 
4. 
5. 
6. 
7.","","2","功能测试","功能测试阶段","正常","0","0","7","","乐薇","2025-11-19","乐薇","2025-11-19","1","",""
"168616","指标开发_STD(#53)","/迭代版本测试用例/V6.4.1-银联云/经营目标管理(#9637)","经营目标管理：支持定义目标/目标策略/子目标/子目标策略(#14940)","验证交叉分析功能","无","1. 进入经营管理-经营目标管理页面，选择该经营目标：${target}，点击分析按钮
2. 选择分析来源（分析来源中设置的经营分析主体为「用户ID」），分析日期、分析维度-设置维值、交叉分析选择子目标2（主被扫入口点击用户规模）、子目标3（还款入口点击的用户规模），点击分析","1. 进入经营目标管理>经营目标分析页面
2. 计算结果取子目标2、3衡量指标中的用户ID维度值的交集作为限定条件，计算当前目标的策略贡献结果","1. 
2.","","1","功能测试","功能测试阶段","正常","0","0","2","","乐薇","2025-11-19","乐薇","2025-11-19","1","",""
"168615","指标开发_STD(#53)","/迭代版本测试用例/V6.4.1-银联云/经营目标管理(#9637)","经营目标管理：支持定义目标/目标策略/子目标/子目标策略(#14940)","验证经营过程事件归因","无","1. 进入经营管理-经营目标管理页面，选择该经营目标：${target}，点击分析按钮
2. 选择分析来源、分析日期，点击分析，查看经营过程事件归因
3. 查看目标策略贡献
4. 查看子目标贡献
5. 查看子目标策略贡献
6. 查看经营过程贡献
7. 查看经营过程追踪指标","1. 进入经营目标管理>经营目标分析页面
2. 包括：目标策略贡献、子目标贡献、子目标策略贡献、经营过程贡献（分析）、经营过程追中指标
3. 基于选中的目标依次显示各目标策略的贡献率及无效投入资源量 + 自然流量贡献率（分组内按贡献率降序排序）
4. 基于选中的目标策略显示各子目标的贡献率及无效投入资源量（分组内按贡献率降序排序）
5. 基于选中的子目标依次显示各目标策略的贡献率+自然流量贡献率（分组内按贡献率降序排序）
6. 基于选中的子目标策略显示各经营过程（活动）的贡献率+自然流量贡献率内容，整体按贡献率降序排序
7. 基于选中的子目标策略显示经营过程追踪（取数模版）的查询结果（查询日期替换为顶部选择的分析日期；若选择了某个维值，则筛选条件追加维值条件查询）","1. 
2. 经营过程分析还没做
3. 后续还需测自然流量贡献率和降序排序
4. 后续还需测降序排序
5. 后续还需测自然流量贡献率和降序排序
6. 还没做
7. 增加维度分析，就会报错","","1","功能测试","功能测试阶段","正常","0","1","7","失败","乐薇","2025-11-19","乐薇","2025-11-19","1","",""
"168614","指标开发_STD(#53)","/迭代版本测试用例/V6.4.1-银联云/经营目标管理(#9637)","经营目标管理：支持定义目标/目标策略/子目标/子目标策略(#14940)","验证经营过程关联归因","无","1. 进入经营管理-经营目标管理页面，选择该经营目标：${target}，点击分析按钮
2. 选择分析来源、分析日期，点击分析，查看经营过程关联归因
3. 查看目标策略贡献
4. 查看子目标贡献
5. 查看经营过程贡献","1. 进入经营目标管理>经营目标分析页面
2. 包括：目标策略贡献、子目标贡献、经营过程贡献（分析）
3. 基于选中的目标依次显示各目标策略的贡献率及无效投入资源量 + 自然流量贡献率（分组内按贡献率降序排序）
4. 基于选中的目标策略显示各子目标的贡献率及无效投入资源量（分组内按贡献率降序排序）
5. 基于选中的子目标策略显示各经营过程（活动）对目标/目标策略/子目标的及无效投入资源量+自然流量贡献率内容，整体按贡献率降序排序","1. 
2. 
3. 
4. 
5.","","1","功能测试","功能测试阶段","正常","0","0","5","","乐薇","2025-11-19","乐薇","2025-11-19","1","",""
"167983","指标开发_STD(#53)","/迭代版本测试用例/V6.4.1-银联云/经营目标管理(#9637)","经营目标管理：支持定义目标/目标策略/子目标/子目标策略(#14940)","验证经营目标管理列表显示&交互正确","1、当前登录账号有经营目标管理模块的查看权限；
2、当前项目对接的计算组件为sr","1. 登录指标平台，进入具体项目下，切换到经营策略 菜单，查看左侧模块列表
2. 切换到【经营目标管理】菜单，查看页面
3. 查看经营目标分类模块
4. 查看经营目标搜索栏
5. 查看日期选择器","1. 展示经营目标管理
2. 页面进入正常，左侧展示经营目标分类，搜索栏、日期选择器，新增目标按钮，展示经营目标列表，列表默认展示：暂无数据；
列表字段包括经营目标名称、目标值、当前值、目标完成率、描述、经营目标分类、负责用户组、负责人、最近更新人、最近更新时间、操作
列表按照最近更新时间降序排列
3. 支持新增，placeholder提示：请输入关键词
支持根据经营目标分类名称模糊搜索
4. placeholder提示：请输入经营目标名称进行搜索
支持根据经营目标名称模糊搜索，位于非首页搜索时结果正确展示。
5. 单选，默认昨日","1. 
2. 
3. 
4. 搜索子目标名称，列表异常
5.","","2","功能测试","功能测试阶段","正常","0","2","5","失败","乐薇","2025-11-10","乐薇","2025-11-10","1","",""
"167982","指标开发_STD(#53)","/迭代版本测试用例/V6.4.1-银联云/经营目标管理(#9637)","经营目标管理：支持定义目标/目标策略/子目标/子目标策略(#14940)","经营目标分类 验证新增经营目标分类","1、当前登录账号有「经营管理」-「经营目标管理」的「查看」权限；
2、当前登录账号有「经营管理」-「经营目标管理」-「经营目标分类」-「新增」权限；
3、当前项目对接的计算组件为sr。","1. 进入经营管理-经营目标管理页面
2. 点击“+”按钮
3. 输入内容回车
4. 点击名称后的“...”
5. 长度超过64字符
6. 输入已存在的分类名称","1. 页面进入成功
2. 直接下方列表顶部新增输入
3. 自动保存
4. 展示编辑、删除按钮
5. 前端提示：限制输入64字符
6. 前端提示：名称重复","1. 
2. 
3. 
4. 
5. 
6.","","2","功能测试","功能测试阶段","正常","0","2","6","通过","乐薇","2025-11-10","昭君","2025-11-17","1","",""
"167981","指标开发_STD(#53)","/迭代版本测试用例/V6.4.1-银联云/经营目标管理(#9637)","经营目标管理：支持定义目标/目标策略/子目标/子目标策略(#14940)","经营目标分类 验证编辑经营目标分类","1、当前登录账号有「经营管理」-「经营目标管理」的「查看」权限；
2、当前登录账号有「经营管理」-「经营目标管理」-「经营目标分类」-「编辑」权限；
3、当前项目对接的计算组件为sr；
4、已存在经营目标分类：${目标分类1}","1. 进入经营管理-经营目标管理页面
2. 选择${目标分类1}，点击“编辑”按钮
3. 输入内容回车
4. 长度超过64字符
5. 输入已存在的分类名称","1. 页面进入成功
2. 信息回显正确
3. 自动保存，编辑成功，右侧经营目标列表中引用该经营目标分类的信息一并调整
4. 前端提示：限制输入64字符
5. 前端提示：名称重复","1. 
2. 
3. 
4. 
5.","","1","功能测试","功能测试阶段","正常","0","5","5","通过","乐薇","2025-11-10","乐薇","2025-11-10","1","",""
"167980","指标开发_STD(#53)","/迭代版本测试用例/V6.4.1-银联云/经营目标管理(#9637)","经营目标管理：支持定义目标/目标策略/子目标/子目标策略(#14940)","经营目标分类 验证经营目标分类 搜索功能","无","1. 进入经营管理-经营目标管理页面
2. 点击经营目标分类搜索框，输入分类名称","1. 页面进入成功
2. 支持模糊搜索，匹配正确的结果","1. 
2.","","3","功能测试","功能测试阶段","正常","0","3","2","通过","乐薇","2025-11-10","乐薇","2025-11-10","1","",""
"167979","指标开发_STD(#53)","/迭代版本测试用例/V6.4.1-银联云/经营目标管理(#9637)","经营目标管理：支持定义目标/目标策略/子目标/子目标策略(#14940)","经营目标分类 验证经营目标分类 删除功能","1、当前登录账号有「经营管理」-「经营目标管理」的「查看」权限；
2、当前登录账号有「经营管理」-「经营目标管理」-「经营目标分类」-「删除」权限；
3、当前项目对接的计算组件为sr；
4、已存在经营目标分类：${目标分类1}，存在经营目标引用改经营目标分类；
${目标分类2}，未被经营目标引用。","1. 进入经营管理-经营目标管理页面
2. 选择${目标分类1}，点击删除
3. 选择${目标分类2}，点击删除
4. 删除引用${目标分类1}目标分类的经营目标，再次选择${目标分类1}，点击删除","1. 页面进入成功
2. 提示：当前目录下有经营目标被管理，当前目录暂不可删除
3. 删除成功
4. 删除成功","1. 
2. 
3. 
4.","","2","功能测试","功能测试阶段","正常","1","3","4","通过","乐薇","2025-11-10","昭君","2025-11-17","1","",""
